user,first_social_sign,number_of_swaps,swaps_category,swapped_before_social,number_stake_actions,current_stake_raw,current_stake,stake_category,staked_before_social,defi_category
tirojie.near,2023-03-04 00:00:00.000,2,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
dilley.near,2023-02-20 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
kangaroojack.near,2023-01-25 00:00:00.000,6,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
e73205d8ac3260f68223f347bd6a32727c27eddc564cd199621e689dc25917b0,2023-03-13 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
djwine_official.near,2022-12-07 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
calebjacob.near,2022-12-12 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,1,1.5,1.5,0-100 STAKED,YES,ONLY STAKED
gangubai.near,2023-02-22 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
doan2505.near,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
tituszban.near,2022-11-10 00:00:00.000,6,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
0bb4917c034b2e7ed1a9c9af18bd28c69c03ffd18306409b0b483d739ebf5461,2023-03-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
c6a0e859d6ce2075498729027793b1318edcb7b63d896ab35853373ff63d6fae,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
9f1dfa2663bc5b58f45057d73ebcfc0d761056e30e9de1316e0899d4867ab1c8,2023-03-07 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
granthul.near,2022-10-05 00:00:00.000,9,1-10 SWAPS,YES,4,3.1,3.1,0-100 STAKED,YES,DEFI MASTER
anis_132.near,2023-03-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
nfteng.near,2023-01-22 00:00:00.000,44,11-50 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
